Tamil Nadu,Ariyalur,Andimadam,Ilaiyur E,Elaiyur,11.2333000,79.3150000,Dug Well,3.00
Tamil Nadu,Ariyalur,Andimadam,Koovathur (N),Kattathur Dw,11.3069000,79.3494000,Dug Well,1.35
Tamil Nadu,Ariyalur,Andimadam,Koovathur (N),Thandalai,11.2978000,79.3775000,Dug Well,2.60
Tamil Nadu,Ariyalur,Andimadam,Olaiyur,Periyathukurichi,11.4100000,79.3328000,Dug Well,2.55
Tamil Nadu,Ariyalur,Andimadam,Rangiyam,Chidambaram,11.3833000,79.3833000,Dug Well,3.00
Tamil Nadu,Ariyalur,Jayamkondam,Jayakondasolapuram,Jayankondam Dw,11.2128000,79.3644000,Dug Well,3.15
Tamil Nadu,Ariyalur,Jayamkondam,Pappakudi(N),Pappakudi Dw,11.2853000,79.4900000,Dug Well,3.16
Tamil Nadu,Ariyalur,Jayamkondam,Periyavalayam,G.K.Cholapuram,11.2111000,79.3958000,Dug Well,3.40
Tamil Nadu,Ariyalur,T.Palur,Manakethi,Manahothi,11.1394000,79.2378000,Dug Well,3.10
Tamil Nadu,Ariyalur,Thirumanur,Kelaiyur,Kilpazhavur,11.0333000,79.0500000,Dug Well,1.70
Tamil Nadu,Chengalpattu,Chithamur,Atcharappakkam,Acharapakkam1,12.4000000,79.8167000,Dug Well,2.60
Tamil Nadu,Chengalpattu,Chithamur,Sunambedu,Chunamedu,12.2583000,79.9083000,Dug Well,2.10
Tamil Nadu,Chengalpattu,Kattankolathur,Chengalpattu(Natham,Chenglepet1,12.7000000,79.9750000,Dug Well,3.10
"",,,A),,,,,
Tamil Nadu,Chengalpattu,Kattankolathur,Kattankolathur,Kattangulathur,12.8138890,80.0333330,Dug Well,3.10
STATE/UT,DISTRICT,TEHSIL/BLOCK,VILLAGE NAME,SITE NAME,LATITUDE,LONGITUDE,WELL SITE TYPE,WATER
"",,NAME,,,,,,LEVEL
"",,,,,,,,(mbgl)
Tamil Nadu,Chengalpattu,Kattankolathur,Kozapakkam(Oonaman,Kolapakkam,12.8686000,80.1103000,Dug Well,3.20
"",,,jeri),,,,,
Tamil Nadu,Chengalpattu,Kundrathur,Anagaputthur,Anakkaputhur,12.9833000,80.1250000,Dug Well,2.60
Tamil Nadu,Chengalpattu,Kundrathur,Mannivakkam,Mudichur Periurban,12.8919000,80.0689000,Dug Well,1.80
Tamil Nadu,Chengalpattu,Kundrathur,Nanthivaram(Guduvan,Guduvancheri,12.8417000,80.0667000,Dug Well,2.85
"",,,cheri),,,,,
Tamil Nadu,Chengalpattu,Kundrathur,Nanthivaram(Guduvan,Guduvancheri Pz,12.8417000,80.0667000,Bore Well,3.70
"",,,cheri),,,,,
Tamil Nadu,Chengalpattu,Kundrathur,Thiruneermalai,Thiruneermalai,12.9628000,80.1131000,Dug Well,5.20
"",,,,Periurban,,,,
Tamil Nadu,Chengalpattu,Madurantakam,Karunkuzi,Madurantagam1,12.5292000,79.9000000,Dug Well,3.50
Tamil Nadu,Chengalpattu,Madurantakam,Porur,Kolathanallur,12.3472000,79.9083000,Dug Well,2.30
Tamil Nadu,Chengalpattu,Thirukalukundram,Mamallapuram,Mahabalipuram,12.6250000,80.1917000,Dug Well,3.10
Tamil Nadu,Chengalpattu,Thirukalukundram,Mamandur,Mamandur1,12.6500000,79.9417000,Bore Well,1.60
Tamil Nadu,Chengalpattu,Thirukalukundram,Puthupattinam(Solaiku,Sadras,12.5203000,80.1517000,Dug Well,6.50
"",,,ppam),,,,,
Tamil Nadu,Chengalpattu,Thiruporur,Muttukadu,Muttukadu,12.8219000,80.2406000,Dug Well,4.50
Tamil Nadu,Chengalpattu,Thiruporur,Pudupakkam,Thiruporur,12.8083000,80.1875000,Bore Well,2.80
Tamil Nadu,Chengalpattu,Thiruporur,Thirupporur,Tiruporur,12.7292000,80.1917000,Dug Well,3.10
Tamil Nadu,Chengalpattu,Thiruporur,Thirupporur,Tiruporur Pz,12.7200000,80.1850000,Bore Well,2.80
Tamil Nadu,Chengalpattu,Thomas Malai,Chitlapakkam(Kadaperi,Chitlapakkam,12.9406000,80.1375000,Dug Well,2.50
"",,,),,,,,
Tamil Nadu,Chengalpattu,Thomas Malai,Chitlapakkam(Kadaperi,Tambaram1,12.9333000,80.1333000,Dug Well,2.30
"",,,),,,,,
Tamil Nadu,Chengalpattu,Thomas Malai,Hasthinapuram,Hasthinapuram,12.9431000,80.1478000,Dug Well,2.50
Tamil Nadu,Chengalpattu,Thomas Malai,Irumbuliyur,Perungulathur,12.9167000,80.1083000,Bore Well,2.10
Tamil Nadu,Chengalpattu,Thomas Malai,Jameen Pallavaram,Chrompet,12.9514000,80.1392000,Dug Well,2.10
Tamil Nadu,Chengalpattu,Thomas Malai,Madambakkam,Agaram2,12.8875000,80.1486000,Dug Well,3.00
Tamil Nadu,Chengalpattu,Thomas Malai,Moovarasampattu,Kilkattalai,12.9622000,80.1842000,Dug Well,3.10
STATE/UT,DISTRICT,TEHSIL/BLOCK,VILLAGE NAME,SITE NAME,LATITUDE,LONGITUDE,WELL SITE TYPE,WATER
"",,NAME,,,,,,LEVEL
"",,,,,,,,(mbgl)
Tamil Nadu,Chengalpattu,Thomas Malai,Ponmar,Ponmar,12.8556000,80.1694000,Dug Well,3.20
Tamil Nadu,Chengalpattu,Thomas Malai,St.Thomas Mount,Pallavaram,12.9728000,80.1544000,Dug Well,3.00
Tamil Nadu,Chengalpattu,Thomas Malai,Thirisulam,Meenambakkam1,12.9722000,80.1736000,Dug Well,3.20
Tamil Nadu,Chengalpattu,Thomas Malai,Thiruneermalai,Nagalkeni,12.9575000,80.1261000,Dug Well,1.80
Tamil Nadu,Chengalpattu,Thomas Malai,Vengaivaasal,Vengaivasal,12.9003000,80.1711000,Dug Well,7.90
Tamil Nadu,Chennai,Chennai,Egmore (Part 2),Egmore,13.0747000,80.2625000,Dug Well,3.20
Tamil Nadu,Chennai,Chennai,Kodambakkam (Part 2),K.K.Nagar,13.0417000,80.2083000,Dug Well,3.00
Tamil Nadu,Chennai,Chennai,Mylapore (Part 2),Adayar Dw,13.0192000,80.2678000,Dug Well,3.20
Tamil Nadu,Chennai,Chennai,Mylapore (Part 2),Alwarpet,13.0250000,80.2583000,Dug Well,3.15
Tamil Nadu,Chennai,Chennai,Perambur (Part 3),Vyasarpadi Dw,13.1000000,80.2500000,Dug Well,4.20
Tamil Nadu,Chennai,Chennai,Purasawalkam (Part 2),Vepery,13.0833000,80.2708000,Dug Well,2.90
Tamil Nadu,Chennai,Chennai,Saidapet,Guindy (Clri) Pz,13.0222000,80.2250000,Bore Well,1.40
Tamil Nadu,Chennai,Chennai,Thiruvanmiyur,Elegant Flat Dw,12.9828000,80.2636000,Dug Well,3.80
Tamil Nadu,Chennai,Chennai,Thiruvanmiyur,Kalakshetra,12.9875000,80.2639000,Dug Well,2.50
Tamil Nadu,Chennai,Chennai,Tondiarpet (Part 1),Tondiarpet,13.1167000,80.2750000,Dug Well,4.80
Tamil Nadu,Chennai,Chennai,Tondiarpet (Part 4),Vallalar Nagar,13.1056000,80.2814000,Dug Well,3.80
Tamil Nadu,Chennai,Chennai,Triplicane (Part 2),Chepauk,13.0625000,80.2792000,Dug Well,3.70
Tamil Nadu,Chennai,Chennai,Urur,Besant Nagar,13.0014000,80.2700000,Dug Well,3.20
Tamil Nadu,Chennai,Chennai,Vada Agaram,Aminjikarai,13.0667000,80.2278000,Dug Well,4.50
Tamil Nadu,Chennai,Kundrathur,Madanandapuram(Mu,Porur Dw,13.0225000,80.1533000,Dug Well,2.85
"",,,galivakkam),,,,,
Tamil Nadu,Chennai,Puzhal,Kadirvedu,Pulal New,13.1500000,80.2000000,Dug Well,4.40
Tamil Nadu,Chennai,Puzhal,Korattur,Kallikuppam,13.1367000,80.1694000,Dug Well,2.20
Tamil Nadu,Chennai,Thomas Malai,Chemmancheri,Chemmamcheri,12.8633000,80.2261000,Dug Well,2.50
"",,,,Periurban,,,,
Tamil Nadu,Chennai,Thomas Malai,Cholinganallur-,Sholinganallur,12.9000000,80.2333000,Dug Well,3.10
"",,,1(Chozhinganallur-2),Periurban,,,,
Tamil Nadu,Chennai,Thomas Malai,Palavanthangal,Nandambakkam,13.0042000,80.1875000,Dug Well,2.10
STATE/UT,DISTRICT,TEHSIL/BLOCK,VILLAGE NAME,SITE NAME,LATITUDE,LONGITUDE,WELL SITE TYPE,WATER
"",,NAME,,,,,,LEVEL
"",,,,,,,,(mbgl)
Tamil Nadu,Chennai,Thomas Malai,Palavanthangal,St.Thomas Mount,13.0072000,80.1978000,Dug Well,2.80
"",,,,Dw,,,,
Tamil Nadu,Chennai,Thomas Malai,Pallikaranai,Pallikaranai1,12.9336000,80.2042000,Bore Well,1.80
Tamil Nadu,Chennai,Thomas Malai,Utthandi,Uthandi,12.8694000,80.2472000,Dug Well,3.90
Tamil Nadu,Chennai,Villivakkam,Mugapair,Tirumangalam,13.0833000,80.1875000,Dug Well,2.60
Tamil Nadu,Coimbatore,Anamalai,Marchanaickenpalaya,Ambarampalayam,10.6353000,76.9411000,Dug Well,2.60
"",,,m,,,,,
Tamil Nadu,Coimbatore,Annur,Annur,Annur Pz,11.2250000,77.1083000,Bore Well,10.37
Tamil Nadu,Coimbatore,Annur,Annur,Annur1,11.2333000,77.1083000,Dug Well,11.15
Tamil Nadu,Coimbatore,Annur,Kattampatty,Ganesapuram,11.1758000,77.0575000,Dug Well,19.36
Tamil Nadu,Coimbatore,Annur,Kuppanur,Pongalur Pz,11.2983000,77.0789000,Bore Well,4.28
Tamil Nadu,Coimbatore,Karamadai,Karamadai,Thekkampatti Pz,11.2558000,76.9347000,Bore Well,7.00
Tamil Nadu,Coimbatore,Karamadai,Mettupalayam (M),Mettupalayam Pz,11.3000000,76.9472000,Bore Well,11.35
Tamil Nadu,Coimbatore,Kinathukadavu,Kinthukadavu(Nallattip,Kinathukadavu Pz,10.8167000,77.0167000,Bore Well,6.25
"",,,alayam),,,,,
Tamil Nadu,Coimbatore,Kinathukadavu,Periya Negamam,Chinnaripalayam,10.7292000,77.0917000,Dug Well,3.60
Tamil Nadu,Coimbatore,Kinathukadavu,Pottayandipuram,Sokkanur,10.8083000,76.9583000,Dug Well,7.16
Tamil Nadu,Coimbatore,Kinathukadavu,Sozhanur,Kinathukadavu,10.7333000,77.0292000,Dug Well,5.92
Tamil Nadu,Coimbatore,Madukkarai,Ettimadai,Pichanur,10.8750000,76.9000000,Bore Well,11.44
Tamil Nadu,Coimbatore,Madukkarai,Madukarai,Madukkarai-Pz,10.9083000,76.9667000,Bore Well,15.48
Tamil Nadu,Coimbatore,Periyanaickanpalaya,Aupperpalayam(Puliya,Cwc Campus Pz,11.0414000,77.0006000,Bore Well,5.35
"",,m,kulam),,,,,
Tamil Nadu,Coimbatore,Periyanaickanpalaya,Billichi (E) And (W),P.N.Palayam,11.2069000,76.9922000,Dug Well,9.60
"",,m,,,,,,
Tamil Nadu,Coimbatore,Periyanaickanpalaya,Goundenpalayam,Ghs Ganapathi Pz,11.0419000,76.9419000,Bore Well,3.50
"",,m,,,,,,
Tamil Nadu,Coimbatore,Periyanaickanpalaya,Vadavalli,Kalvirampalayam Pz,11.0314000,76.8844000,Bore Well,46.90
"",,m,,(Primary School),,,,
Tamil Nadu,Coimbatore,Pollachi North,Nalluthukuzhuli,Ponnaiyur,10.6750000,76.9375000,Dug Well,5.50
Tamil Nadu,Coimbatore,Pollachi North,Thalakkarai,Gopalapuaram,10.6958000,76.9375000,Dug Well,3.98
Tamil Nadu,Coimbatore,Pollachi South,T. Kottampatty,Pollachi1,10.6611000,77.0000000,Dug Well,1.57
STATE/UT,DISTRICT,TEHSIL/BLOCK,VILLAGE NAME,SITE NAME,LATITUDE,LONGITUDE,WELL SITE TYPE,WATER
"",,NAME,,,,,,LEVEL
"",,,,,,,,(mbgl)
Tamil Nadu,Coimbatore,Sarkarsamakulam,Saravanmpatty,Saravanampatti,11.0694000,77.0014000,Dug Well,10.00
Tamil Nadu,Coimbatore,Sarkarsamakulam,Saravanmpatty,Saravanampatti1,11.0750000,77.0014000,Bore Well,19.05
Tamil Nadu,Coimbatore,Sulur,Karumathampatty,Samalapuram,11.0875000,77.1792000,Bore Well,2.40
Tamil Nadu,Coimbatore,Sulur,Sulur,Sulur,11.0250000,77.1250000,Dug Well,2.25
Tamil Nadu,Coimbatore,Thondamuthur,Kuniamuthur(Komarap,Sugunapuram,10.9542000,76.9500000,Dug Well,15.55
"",,,alayam),(B.K.Pudur),,,,
Tamil Nadu,Coimbatore,Thondamuthur,Kurichy,Podanur1,10.9667000,76.9833000,Dug Well,8.00
Tamil Nadu,Coimbatore,Thondamuthur,Singanallur(Sowripalay,Cbe Stock Exchange,10.9964000,77.0050000,Bore Well,10.37
"",,,am),Pz,,,,
Tamil Nadu,Coimbatore,Thondamuthur,Singanallur(Sowripalay,Singanallur,10.9964000,77.0208000,Dug Well,4.25
"",,,am),,,,,
Tamil Nadu,Coimbatore,Thondamuthur,Thelungupalayam,Telungupalayam Pz,10.9833000,76.9228000,Bore Well,3.35
Tamil Nadu,Coimbatore,Thondamuthur,Vadavalli,Vadavalli,11.0250000,76.9083000,Dug Well,39.10
Tamil Nadu,Cuddalore,Cuddalore,Thiyagavalli,Nadutitu Dw,11.6392000,79.7472000,Dug Well,4.09
Tamil Nadu,Cuddalore,Cuddalore,Vanniyar,Cuddalore1,11.7644000,79.7647000,Dug Well,3.85
"",,,Palayam(Chellankuppa,,,,,
"",,,m),,,,,
Tamil Nadu,Cuddalore,Kammapuram,Gangaikondan,Neyveli1,11.5583000,79.4833000,Dug Well,3.80
Tamil Nadu,Cuddalore,Kammapuram,Pudhukoraipettai,Sattamangalam,11.5186000,79.3697000,Dug Well,3.10
Tamil Nadu,Cuddalore,Kattumannarkoil,Ma.Arasur,Komaratchi,11.2667000,79.6208000,Dug Well,3.97
Tamil Nadu,Cuddalore,Kattumannarkoil,Mannargudi,Kattumannarkudi,11.2750000,79.5472000,Dug Well,3.30
Tamil Nadu,Cuddalore,Kumaratchi,Solatharam,Solatharam,11.3617000,79.5083000,Dug Well,2.00
Tamil Nadu,Cuddalore,Kumaratchi,Veeranatham,Veeranatham,11.3058000,79.5939000,Dug Well,2.60
Tamil Nadu,Cuddalore,Kurinjipadi,Alappakkam,Keelpuvanikuppam,11.6011000,79.7189000,Dug Well,2.85
"",,,,Dw,,,,
Tamil Nadu,Cuddalore,Kurinjipadi,Kottagam,Karunguli Dw,11.5222000,79.5256000,Dug Well,1.60
Tamil Nadu,Cuddalore,Kurinjipadi,Kundiamallur North,Kundiamallur Dw,11.5269000,79.6517000,Dug Well,10.07
Tamil Nadu,Cuddalore,Kurinjipadi,Parvathipuram,Vadalur,11.5375000,79.5417000,Dug Well,3.25
Tamil Nadu,Cuddalore,Kurinjipadi,Puliyur (East)(Puliyur,Kattuvegakollai Dw,11.6475000,79.6392000,Dug Well,6.25
"",,,West),,,,,
Tamil Nadu,Cuddalore,Kurinjipadi,Sepalanatham,Seerakuppam Dw,11.5294000,79.5311000,Dug Well,3.75
STATE/UT,DISTRICT,TEHSIL/BLOCK,VILLAGE NAME,SITE NAME,LATITUDE,LONGITUDE,WELL SITE TYPE,WATER
"",,NAME,,,,,,LEVEL
"",,,,,,,,(mbgl)
Tamil Nadu,Cuddalore,Kurinjipadi,Serakuppam(Kurinjipad,Kurinjipadi,11.5625000,79.5917000,Dug Well,4.48
"",,,i North),,,,,
Tamil Nadu,Cuddalore,Kurinjipadi,Serakuppam(Kurinjipad,Reddipalayam Dw,11.5394000,79.5914000,Dug Well,2.20
"",,,i North),,,,,
Tamil Nadu,Cuddalore,Kurinjipadi,T.Palayam,Anthanampettai Dw,11.6067000,79.6350000,Dug Well,1.70
Tamil Nadu,Cuddalore,Kurinjipadi,Terkumelur,Tekkumellur Dw,11.5892000,79.5275000,Dug Well,2.30
Tamil Nadu,Cuddalore,Kurinjipadi,Theerthanagiri,Teerthanagiri Dw,11.5692000,79.6789000,Dug Well,2.27
Tamil Nadu,Cuddalore,Kurinjipadi,Thenkuthu(Neyveli Ts),Abaddaranapuram,11.5819000,79.5533000,Dug Well,2.10
"",,,,Dw,,,,
Tamil Nadu,Cuddalore,Kurinjipadi,Thiruchopuram,Tiruchchopuram Dw,11.6164000,79.7414000,Dug Well,5.00
Tamil Nadu,Cuddalore,Kurinjipadi,Vadakuthu,Gandhinagar-Nlc,11.6175000,79.5539000,Dug Well,13.90
"",,,,Arch Gate Dw,,,,
Tamil Nadu,Cuddalore,Kurinjipadi,Vegakollai,Vegakollai,11.6686000,79.5819000,Dug Well,7.15
Tamil Nadu,Cuddalore,Mangalur,M.Podayur,Maapodaiyur Dw,11.4817000,79.0458000,Dug Well,5.30
Tamil Nadu,Cuddalore,Mangalur,Ramanatham,Tholudur(Dug ),11.4083000,79.0083000,Dug Well,3.85
Tamil Nadu,Cuddalore,Nallur,Veppur,Veppur,11.5322000,79.1239000,Dug Well,1.89
Tamil Nadu,Cuddalore,Parangipettai,Ariyakozhtti,Periyakumudhi,11.4894000,79.7156000,Dug Well,2.36
Tamil Nadu,Cuddalore,Parangipettai,C.Manambadi,Killai,11.4458000,79.7639000,Dug Well,2.10
Tamil Nadu,Cuddalore,Parangipettai,Parangipettai,Porto-Nova,11.4917000,79.7542000,Dug Well,1.80
Tamil Nadu,Cuddalore,Vridhachalam,Kavanai(Vayalur),Vridhachalam,11.5167000,79.3333000,Dug Well,9.20
Tamil Nadu,Cuddalore,Vridhachalam,Ko. Boovanur,Kopuvanur,11.6083000,79.3167000,Dug Well,2.16
Tamil Nadu,Cuddalore,Vridhachalam,Nallur,Nallur Pz,11.5683000,79.1900000,Bore Well,5.07
Tamil Nadu,Dharmapuri,Dharmapuri,Settikarai,Kaveripattinathankot,12.1461000,78.1733000,Dug Well,3.35
"",,,,tai,,,,
Tamil Nadu,Dharmapuri,Dharmapuri,Thippireddihalli,Bommidimalapurm,12.0000000,78.2500000,Dug Well,3.20
Tamil Nadu,Dharmapuri,Dharmapuri,Virupakshipuram,Bharathipuram,12.1172000,78.1531000,Dug Well,9.70
Tamil Nadu,Dharmapuri,Harur,A.Pallipatti,A.Pallipatti,11.9403000,78.4017000,Dug Well,6.98
Tamil Nadu,Dharmapuri,Harur,Harur,Harur1,12.0417000,78.4833000,Dug Well,3.25
Tamil Nadu,Dharmapuri,Harur,Harur,Harur2,12.0514000,78.4833000,Bore Well,10.37
STATE/UT,DISTRICT,TEHSIL/BLOCK,VILLAGE NAME,SITE NAME,LATITUDE,LONGITUDE,WELL SITE TYPE,WATER
"",,NAME,,,,,,LEVEL
"",,,,,,,,(mbgl)
Tamil Nadu,Dharmapuri,Harur,Iachchambadi,Echambadi Dw,12.1128000,78.4942000,Dug Well,5.50
Tamil Nadu,Dharmapuri,Harur,Kottapatty,Kottapatti,11.9778000,78.6625000,Bore Well,3.77
Tamil Nadu,Dharmapuri,Harur,Mondukuli,Mullaivanam,12.0975000,78.6289000,Dug Well,9.00
Tamil Nadu,Dharmapuri,Harur,Pudupatti,Mukkareddipatti,11.9667000,78.4167000,Dug Well,10.55
Tamil Nadu,Dharmapuri,Harur,Theerthamalai,Thirthamalai Dw,12.1017000,78.5892000,Dug Well,5.65
Tamil Nadu,Dharmapuri,Kaveripattanam,Irumattur,Irumattur New,12.2611000,78.3019000,Dug Well,6.35
Tamil Nadu,Dharmapuri,Morappur,Gobinathampatti,Karthankulam Dw,12.1331000,78.3197000,Dug Well,8.15
Tamil Nadu,Dharmapuri,Morappur,Hunisinahalli,Sillarahalli,12.0525000,78.2806000,Dug Well,5.15
Tamil Nadu,Dharmapuri,Morappur,Ichchambadi,Ecchambadi,12.2017000,78.3544000,Bore Well,6.58
Tamil Nadu,Dharmapuri,Morappur,Jakkupatti,Jaggubathipalayam,12.1942000,78.2950000,Bore Well,8.40
Tamil Nadu,Dharmapuri,Morappur,Maniyabadi,Odasalapatti,12.1417000,78.2917000,Dug Well,4.95
Tamil Nadu,Dharmapuri,Morappur,Maniyabadi,Odasalapatti X Road,12.1431000,78.2844000,Dug Well,5.60
Tamil Nadu,Dharmapuri,Morappur,Rasalampatti,Morappur Dw,12.1247000,78.3989000,Dug Well,8.50
Tamil Nadu,Dharmapuri,Nallampalli,Toppur Kanigarahalli,Thoppur (D),11.9433000,78.0481000,Dug Well,7.00
Tamil Nadu,Dharmapuri,Nallampalli,Toppur Kanigarahalli,Thoppur Pz,11.9403000,78.0594000,Bore Well,4.53
Tamil Nadu,Dharmapuri,Pappireddipatti,Molaiyanur,Papireddipatti1,11.9167000,78.3361000,Dug Well,2.80
Tamil Nadu,Dharmapuri,Pennagaram,Konangihalli,Nagadasampatti,12.1333000,77.9833000,Dug Well,2.15
Tamil Nadu,Dharmapuri,Pennagaram,Pennagaram,Pennagaram1,12.1250000,77.9000000,Dug Well,7.95
Tamil Nadu,Dharmapuri,Pennagaram,Pennagaram,Hogenakkal,12.1236000,77.8083000,Dug Well,4.35
Tamil Nadu,Dindigul,Athoor,Thoppampatty,Gandhigram,10.2583000,77.9250000,Dug Well,3.07
Tamil Nadu,Dindigul,Dindigul,Balakrishnapuram,Hanumanthanagar,10.3514000,77.9944000,Dug Well,2.45
Tamil Nadu,Dindigul,Dindigul,Dindigul (M),Dindigul2,10.3667000,77.9708000,Dug Well,1.52
Tamil Nadu,Dindigul,Dindigul,Dindigul (M),Paraipatti,10.3583000,77.9750000,Dug Well,1.55
Tamil Nadu,Dindigul,Dindigul,Seelapadi,Chellamantadi,10.4072000,78.0025000,Dug Well,3.00
Tamil Nadu,Dindigul,Dindigul,Seelapadi,Nandavanampatti,10.3756000,77.9853000,Dug Well,2.18
Tamil Nadu,Dindigul,Guziliamparai,Alambadi,Idayapatti,10.7583000,78.0333000,Dug Well,10.80
Tamil Nadu,Dindigul,Guziliamparai,Koombur,Kakkinapatti,10.6714000,77.9922000,Dug Well,5.60
Tamil Nadu,Dindigul,Guziliamparai,Palayam,Guzilamparai,10.6806000,78.1156000,Dug Well,1.70
STATE/UT,DISTRICT,TEHSIL/BLOCK,VILLAGE NAME,SITE NAME LATITUDE,,LONGITUDE,WELL SITE TYPE,WATER
"",,NAME,,,,,,LEVEL
"",,,,,,,,(mbgl)
Tamil Nadu,Dindigul,Guziliamparai,Palayam,Muthampattipalaya 10.7272000,,78.1392000,Dug Well,3.48
"",,,,m,,,,
Tamil Nadu,Dindigul,Kodaikanal,Kodaikanal,Kodaikanal 10.2347000,,77.4833000,Dug Well,6.73
Tamil Nadu,Dindigul,Kodaikanal,Kodaikanal,Perumal Malai 10.2681000,,77.5417000,Dug Well,1.01
Tamil Nadu,Dindigul,Kodaikanal,Pannaikadu,Uthu 10.2683000,,77.6178000,Dug Well,2.20
Tamil Nadu,Dindigul,Nattam,Natham,Natham1 10.2222000,,78.2472000,Dug Well,4.10
Tamil Nadu,Dindigul,Oddanchatram,Oddanchatram,Oodanchatram 10.4875000,,77.7542000,Dug Well,2.58
Tamil Nadu,Dindigul,Oddanchatram,Palakkanoothu,Palakanthu 10.4658000,,77.8056000,Dug Well,2.60
Tamil Nadu,Dindigul,Palani,Kanakkanpatty(Pachala,Kanakkanpatti 10.4750000,,77.5667000,Dug Well,1.83
"",,,nayackenpatti),,,,,
Tamil Nadu,Dindigul,Palani,Palani,Palani2 10.4333000,,77.5125000,Dug Well,2.87
Tamil Nadu,Dindigul,Palani,Virupatchi,Pudu Ettama Nayakar 10.4619000,,77.7061000,Dug Well,4.70
"",,,,Patti,,,,
Tamil Nadu,Dindigul,Reddiarchatram,Kamatchipuram,Reddiarchattram 10.4167000,,77.8611000,Dug Well,5.20
Tamil Nadu,Dindigul,Sanarpatti,Vengamanoothu,Vadamadurai 10.3583000,,78.1000000,Dug Well,6.88
Tamil Nadu,Dindigul,Thoppampatti,Chatrapatty,Chattrapatti 10.4667000,,77.6583000,Dug Well,3.66
Tamil Nadu,Dindigul,Thoppampatti,Thummalapatty,Thumbalapatti 10.5333000,,77.5208000,Dug Well,6.60
Tamil Nadu,Dindigul,Thoppampatti,Velampatty,Thoppampatti 10.5900000,,77.5269000,Dug Well,2.20
Tamil Nadu,Dindigul,Vadamadurai,Thamaraipadi,Thamaraipadi 10.4053000,,78.0453000,Dug Well,1.98
Tamil Nadu,Dindigul,Vedasandur,Nagayakottai,Vaivespuram 10.5458000,,78.0719000,Dug Well,4.50
